,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
187,exp16_LNP_VTN.czi,7,1553105,4318899,7754546,142082,4051,450.1111111111111,0.028511704508664,0.0026083233264975,95,9
188,exp16_LNP_VTN.czi,8,1616167,4906152,10185716,119892,4136,318.15384615384613,0.0344977146098155,0.0025591414748599,63,13
189,exp16_LNP_VTN.czi,9,1679780,5514904,27004903,92499,10432,549.0526315789474,0.1127795976172715,0.0062103370679493,103,19
190,exp16_LNP_VTN.czi,10,2043456,4206466,10694570,104411,7540,754.0,0.0722146134028023,0.0036898274296094,83,10
191,exp16_LNP_VTN.czi,11,1446314,3232743,3164445,21977,1041,347.0,0.0473677025981708,0.0007197607158611,19,3
192,exp17_LNP_A2M.czi,0,1051689,6024431,35172797,98703,4933,182.7037037037037,0.049978217480725,0.0046905501531346,186,27
193,exp17_LNP_A2M.czi,1,977351,4394204,19078337,32834,13517,965.5,0.4116769202655783,0.0138302411313847,90,14
194,exp17_LNP_A2M.czi,2,781725,3332016,7279906,4878,409,81.8,0.0838458384583845,0.0005232018932489,50,5
195,exp17_LNP_A2M.czi,3,905394,5593774,29012811,97986,3154,143.36363636363637,0.0321882717939297,0.003483566270596,105,22
196,exp17_LNP_A2M.czi,4,976291,4548866,22892090,35859,3579,223.6875,0.0998075796871078,0.0036659151830755,102,16
197,exp17_LNP_A2M.czi,5,798456,3485541,9568878,19231,4854,809.0,0.2524049711403463,0.0060792329195347,79,6
198,exp17_LNP_A2M.czi,6,844961,5824638,31598104,39900,6975,258.3333333333333,0.1748120300751879,0.0082548188614622,120,27
199,exp17_LNP_A2M.czi,7,1063012,8462459,37215940,74723,21941,756.5862068965517,0.2936311443598356,0.0206404066934333,310,29
200,exp17_LNP_A2M.czi,8,868465,3656307,7673800,15385,3728,532.5714285714286,0.2423139421514462,0.0042926312516912,40,7
201,exp17_LNP_A2M.czi,9,1164055,4406447,23562648,163501,2882,180.125,0.0176268035057889,0.0024758280321806,52,16
202,exp17_LNP_A2M.czi,10,1187349,6269507,22657698,151710,11316,754.4,0.0745896776745105,0.0095304750330357,231,15
203,exp17_LNP_A2M.czi,11,848370,2918052,3542708,4400,437,218.5,0.0993181818181818,0.000515105437486,22,2
204,exp18_LNP_CR.czi,0,2466218,8003171,48717421,735228,2978,102.6896551724138,0.0040504442159438,0.001207516934837,199,29
205,exp18_LNP_CR.czi,1,2340951,3069664,5621639,590368,97,16.166666666666668,0.0001643042983359,4.143615137608605e-05,14,6
206,exp18_LNP_CR.czi,2,1958352,3997283,14126619,263759,303,37.875,0.0011487759659386,0.000154721929459,36,8
207,exp18_LNP_CR.czi,3,1994227,6222809,34857269,563985,3025,159.21052631578948,0.0053636178267152,0.0015168784697027,157,19
208,exp18_LNP_CR.czi,4,1192710,7407968,39817899,29776,4374,162.0,0.1468968296614723,0.0036672787182131,277,27
209,exp18_LNP_CR.czi,5,1201516,2624768,538961,0,0,,,0.0,0,0
210,exp18_LNP_CR.czi,6,1705252,4638363,30549842,134517,985,51.8421052631579,0.0073224945545916,0.0005776272363263,92,19
211,exp18_LNP_CR.czi,7,1857386,4815236,24851087,273996,426,21.3,0.0015547672228791,0.0002293545875763,62,20
212,exp18_LNP_CR.czi,8,1404598,2842385,2087810,1272,204,102.0,0.160377358490566,0.000145237284974,4,2
213,exp18_LNP_CR.czi,9,1458494,3797716,14580264,12241,310,34.44444444444444,0.025324728371865,0.0002125480118533,33,9
